Department,Metric,Goal,Current,,,
DPW: Environmental Affairs,# of missed trash pickups ,145,152,0,0,0
DPW: Environmental Affairs,# of repeat missed trash from last 6 months,,0,0,0,0
DPW: Environmental Affairs,# of missed recycling pickups ,65,62,0,0,0
DPW: Environmental Affairs,# of repeat missed recycling from last 6 months,,0,0,0,0
DPW: Environmental Affairs,# of missed yard waste pickups for each day of the month,,0,0,0,0
DPW: Environmental Affairs,# of bulky item requests scheduled per month,,637,0,0,0
Health & Human Services,Health: total # of clients seen,0,108,0,0,0
Law,Law: Total Claims,0,103,0,0,0
Law,Law: Number of claims closed within 30 days %,100,69,0,0,0
Parks and Recreation (Work Orders),Parks: # of work orders submitted,0,80,0,0,0
Parks and Recreation (Work Orders),Parks: # of work orders completed within 5 business days %,85,93.7,0,0,0
Treasury,Treasury: # of calls answered by staff %,95,70,0,0,0
Treasury,Treasury: # of calls to voicemail %,5,30,0,0,0
Treasury,Treasury: # of voicemails returned within one business day %,100,100,0,0,0
Veterans Service Center,Veterans: Number of returning attendees,25,25,0,0,0
Veterans Service Center,Veterans: Number of new attendees,5,10,0,0,0
