Department,Metric,Goal,15-Mar,15-Apr
Library,Total visits,58740,60556,0
Library,Average visits per hour,,199,0
Parks and Recreation,number of times barrels overflowing by site,200,0,0
Parks and Recreation,Acres of athletic turf renovation completed (year),8,0,0
Parks and Recreation,Acres of athletic turf maintenance completed(year),75,0,0
Parks and Recreation,Baseball infields renovated (year),1,0,0
Parks and Recreation,Play structure repair/replacements,2,0,0
Parks and Recreation,Tennis Court repair/maintenance program,2,0,0
Senior Services,number of unique seniors served broken down by age range,400,548,0
Senior Services,number of rides provided by destination (broken down by destination),1600,1900,0
Senior Services,number of requests for rides to destinations that cannot be accommodated,0,10,0
Senior Services,Total Outreach efforts,1,15,0
Senior Services,Programs held outside the Senior Center,1,2,0
Senior Services,Programs held outside the Senior Center: number of attendees,25,170,0
Senior Services,Programs held outside the Senior Center: satisfaction with event %,75,75,0
